sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10
public_0001,buying,B09PYB7B6Z,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,True,1,1,False,2,False,True
public_0002,intent_override,B071X54486,91,10,other,B00X5042IS;B07RZ33BCK;B00N4CEGEW;B0BD7KXVX4;B076FB5TWG;B0052T0SGK;B07RFQ4Q2L;B072HBYT2V;B00J7TTKHY;B0B71T4L93,True,0,17,10,color,B07RQBD7MY;B01727EVCQ;B071P5SP48;B072M9PJ3H;B0C5F4BMLV;B07GDTGWX1;B071X54486;B0058VB3AM;B0062ODJAG;B01N2LFP2K,True,0,176,10,feature,B00I1080VW;B0052T0SGK;B08TWV2QCN;B07D7WQG8G;B07RQSN383;B07QPQ96L1;B08L13LJ5M;B016N918A2;B092W7HJKN;B010779XEY,True,1,11,10,material,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,use_case,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,style,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,size,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,budget,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,brand,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,11,10,,B0119U5Z90;B00QINL7ZA;B0C5F4BMLV;B072M9PJ3H;B071X54486;B01MA6KR4B;B074D2V1J3;B004Q7CV0K;B01FKGB6UG;B01N2LFP2K,True,1,True,4,5,False,11,False,False
public_0003,intent_override,B09YMTWDXJ,4,4,,B09YMTWDXJ;B001KSFIS0;B002J4UBI6;B00737GGW4,True,0,4,4,,B09YMTWDXJ;B001KSFIS0;B002J4UBI6;B00737GGW4,True,0,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,3,3,,B09YMTWDXJ;B07D8GWMKZ;B01NACP8MU,True,1,True,3,1,False,3,False,True
public_0004,intent_override,B07C2XPZ6D,1,1,,B07C2XPZ6D,True,0,1,1,,B07C2XPZ6D,True,0,51,10,other,B072W9N176;B07C2XPZ6D;B09Z4DNRXR;B07H2JHM1Y;B079GJYRZD;B09WX21XY8;B00L9ZBCV6;B00XF6IY04;B00JBOB3BQ;B07CNHLYC8,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,1,1,,B07C2XPZ6D,True,1,True,3,2,False,1,False,True
public_0005,buying,B074G1JP8Z,86,10,other,B08459WDVV;B004LWZXQO;B00RM4VR22;B0031MADUQ;B078JDQMTL;B00710MGAE;B08TCCM91M;B0BQ1DSLKS;B074G1JP8Z;B098WSZ5KD,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,1,1,,B074G1JP8Z,True,0,True,1,9,False,1,False,True
public_0006,browsing,B071F2Z7JG,13,10,feature,B01N1UA1Q6;B00NU925RY;B08CSQGXTC;B072KHDZND;B0781F25RD;B007023PU8;B071F2Z7JG;B07ZPYN7TY;B00YQ48YI6;B01N5HGJ8E,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,1,1,,B071F2Z7JG,True,0,True,1,7,False,1,False,True
public_0007,browsing,B08PF98BV4,519,10,other,B09QQK6R8N;B093KV7LP1;B07F5W2DVL;B09721LJ61;B09Z9H8ZM5;B0B64TYV9T;B077JXNCPW;B09Y8VHYD6;B081F5DSV5;B07M9Q229V,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,1,1,,B08PF98BV4,True,0,True,2,1,False,1,False,True
public_0008,buying,B0BPCC1KBT,112,10,other,B09D8N6Q4Z;B0BPCC1KBT;B01N7UJ0L9;B0779CHHHF;B086WQCHSN;B098JDBZJQ;B01BH6XY58;B074Q3RDKR;B0C4MSXF1V;B07T8CF4GW,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,2,2,,B0BPCC1KBT;B075V115P6,True,0,True,1,2,False,2,False,True
public_0009,buying,B07GXHPWTJ,108,10,other,B09M67CS1X;B081JX95TW;B086YMXTQL;B005QVLMC8;B07SHQ6N8T;B00HBIUM66;B078HJ8QQR;B07CS9CG1Q;B08DK1VK8N;B07CWHWPXZ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,1,1,,B07GXHPWTJ,True,0,True,2,1,False,1,False,True
public_0010,buying,B0929KL5W7,15,10,other,B0936ZJJ68;B093JQPT5G;B0B97JNGGY;B0929KL5W7;B083BG1PY5;B0B53H6J51;B077VLGB1Q;B0B7DWBL9Y;B08H2CKF4Z;B08H2C3NGL,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,1,1,,B0929KL5W7,True,0,True,1,4,False,1,False,True
