sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10
public_0001,buying,B09PYB7B6Z,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,True,1,1,False,2,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0002,intent_override,B071X54486,91,10,other,B07JBK5KBV;B00EVB8AKG;B00CEOPBDG;B07T712VTN;B072HBYT2V;B00J7TTKHY;B00BZB2GGY;B07RZ33BCK;B07PHPPMFW;B08S6Q2DM2,True,0,False,,,True,11,False,False,17,10,color,B07GDTGWX1;B07RQBD7MY;B091DZK1XF;B00APLPSZ6;B00APLPWFC;B072M9PJ3H;B0913DGMQ1;B0062ODJAG;B078HG9KCY;B0058VB3AM,True,0,176,10,feature,B00QXQOCDG;B00APLQ43Q;B001RUOYEK;B07B4MWTPJ;B0052T0SGK;B08QN272FH;B07DC1DCKX;B007YAZFB8;B07BJ4Y2PW;B00I1080VW,True,1,11,10,material,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,use_case,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,style,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,size,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,budget,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,brand,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1,11,10,,B074D2V1J3;B09Y25MFDR;B0119U5Z90;B072M9PJ3H;B01FKGB6UG;B00QINL7ZA;B01MA6KR4B;B0C5F4BMLV;B01N2LFP2K;B004Q7CV0K,True,1
public_0003,intent_override,B09YMTWDXJ,4,4,,B001KSFIS0;B09YMTWDXJ;B002J4UBI6;B00737GGW4,True,0,True,3,1,False,3,False,True,4,4,,B001KSFIS0;B09YMTWDXJ;B002J4UBI6;B00737GGW4,True,0,3,3,,B09YMTWDXJ;B01NACP8MU;B07D8GWMKZ,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0004,intent_override,B07C2XPZ6D,1,1,,B07C2XPZ6D,True,0,True,4,1,False,1,False,True,1,1,,B07C2XPZ6D,True,0,51,10,other,B00AECZ072;B07R6LZS2C;B00JBOB3BQ;B07TXRW4RG;B0097B63J0;B07Z5S6GHC;B09Z7LRFZ7;B00HA8565E;B01KW36C3I;B077YXM9RZ,True,1,1,1,,B07C2XPZ6D,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0005,buying,B074G1JP8Z,86,10,other,B078JDQMTL;B097XN8QQ8;B00GX1RLQG;B08459WDVV;B01L758OMM;B006FT85YI;B0BQ1DSLKS;B07FKTGXR2;B0068ZXCNI;B08LD9Z48G,True,0,True,2,1,False,1,False,True,1,1,,B074G1JP8Z,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0006,browsing,B071F2Z7JG,13,10,feature,B00NU925RY;B07ZPYN7TY;B072KHDZND;B0781F25RD;B01N1UA1Q6;B001ST5FSE;B01N5HGJ8E;B08CSQGXTC;B00YQ48YI6;B002KNDDZO,True,0,True,2,1,False,1,False,True,1,1,,B071F2Z7JG,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0007,browsing,B08PF98BV4,519,10,other,B071X8Z439;B00W0Y66PC;B00SW7UH7Y;B083FFZNLD;B07TK8QS63;B00FSK2TNI;B00FSK05KW;B07FTBG1FH;B07K2W92ML;B07P1QHFPN,True,0,True,2,1,False,1,False,True,1,1,,B08PF98BV4,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0008,buying,B0BPCC1KBT,112,10,other,B002JCBOMU;B0841FNXXV;B0009K21I0;B01N7UJ0L9;B098JDBZJQ;B07DRQFCZB;B0BKQZ26SX;B0146Q9IN8;B07T8CF4GW;B074Q3RDKR,True,0,True,2,1,False,2,False,True,2,2,,B0BPCC1KBT;B075V115P6,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0009,buying,B07GXHPWTJ,108,10,other,B00HBIUM66;B08KGF3HG4;B005QVLMC8;B071D2M63D;B001BXTHZE;B076FTW4HQ;B086YMXTQL;B07GDYRRCX;B0188HXOGI;B0987R6RNC,True,0,True,2,1,False,1,False,True,1,1,,B07GXHPWTJ,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0010,buying,B0929KL5W7,15,10,other,B0929KL5W7;B093JQPT5G;B083BG1PY5;B0936ZJJ68;B08H2CKF4Z;B08H2C3NGL;B0B97JNGGY;B0B53H6J51;B0B7DWBL9Y;B0C6DQNQK7,True,0,True,1,1,False,15,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
