schema_version,evaluation_protocol,model,mode,seed,training_scope,generation_seed,split,state_id,trajectory_id,target_parent_asin,scenario_type,scenario_state,turn,turn_bucket,has_other_answer,supervision_weight,supervision_weight_band,candidate_width,survivor_width_bucket,survivor_sha256,state_evidence_sha256,context_sha256,target_rank,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10,rank_percentile,pairwise_accuracy
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,9:0,9,B08889S4MW,browsing,exploring_unknown,1,early,False,0.05,low,441,>200,852ba6831c28e51b033ea9da7b2bceea2356f483e886c2b90deb938bb30ebd07,09b2e424fef6e7f8b95103d850270680d39960a4d035c5cfb3d05100cd553b6a,ee1620c10f671d944c4194c6742da81750d90ce5cb2091d435526e1deacbcd86,237,0.004219409282700422,0,0,0,0.5363636363636364,0.4636363636363636
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,9:1,9,B08889S4MW,browsing,browsing,2,early,False,0.05,low,441,>200,852ba6831c28e51b033ea9da7b2bceea2356f483e886c2b90deb938bb30ebd07,dd56a591b4abea2faf0f360e49502af60ec471ab6dba83418b631d1c7c7394c5,5976b4e37c5a7e6277a0bbce8e81ec5046e5889207928e1b9d2fc83433de6439,237,0.004219409282700422,0,0,0,0.5363636363636364,0.4636363636363636
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,9:2,9,B08889S4MW,browsing,browsing,3,early,False,0.6666666666666666,medium,1,<=10,6f35462cf483d6e3e71f86f0ee3b3979f31aa001a137924e94673b3670708ea1,3015618e3a3e9ddbdb7adabe65b12124792e90cf2677ea23deee904350639358,7630b701a73f449b84cb597d991e6ae7db1b89ef618579912f34cfd4a1b67efd,1,1.0,1,1,1,0.0,
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,12:0,12,B002J4UBI6,browsing,exploring_unknown,1,early,False,0.05,low,1034,>200,1e4f43ead3ebaf374d38565468d9d44f20fd4ec4d5a3f719512527523bcd46ab,b4dad0b4c404fec3834603bc798078c364cdb4ba6eebdcfab4dfb5fc4d56028e,e538a118c5b54b92ce4e7b85aefd7fadb9b0089cc200d8afcdbafd035344cf35,79,0.012658227848101266,0,0,0,0.0755082284607938,0.9244917715392061
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,12:1,12,B002J4UBI6,browsing,browsing,2,early,False,0.05,low,1034,>200,1e4f43ead3ebaf374d38565468d9d44f20fd4ec4d5a3f719512527523bcd46ab,4b797f7748bc15112e581e15bb6c34f628a237d5f18e43a093080cb47ddaa25e,36edb7cf44226535f5b5b95c8debde83199cba0112f5ea25b37ce4d9ff5a669e,79,0.012658227848101266,0,0,0,0.0755082284607938,0.9244917715392061
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,12:2,12,B002J4UBI6,browsing,browsing,3,early,False,0.6666666666666666,medium,1,<=10,99945618d225658659c7039b6d40eb128de688666eb9bfaa6e3ed9bf5a7676a5,cea38655d058016760ee0989e4cfc5ce64d7972ee8814ddcf5c0a791adb9f32e,b27dd4f5a57abd58cbd7f7126a5d6d85e775d88528e404e2f7b8c634c6c4c1fe,1,1.0,1,1,1,0.0,
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,21:0,21,B06XNVVF4F,buying,buying,1,early,False,0.3333333333333333,medium,69,51-200,77a0d4efbf216cf005450850ffd545f4a244dc8c02459ed1542c07d50dd3ef10,51eac4f013860cdbfa08f6cfa879c0be567441ac3fc7fa1be78978e59f454b7d,9d6d86ccc28641c5378021ed4c4227bdc287563fdf61b69d875814d4045546bd,11,0.09090909090909091,0,0,0,0.14705882352941177,0.8529411764705882
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,21:1,21,B06XNVVF4F,buying,buying,2,early,False,0.3333333333333333,medium,69,51-200,77a0d4efbf216cf005450850ffd545f4a244dc8c02459ed1542c07d50dd3ef10,61e13b451d80bf9dc372c054b388b919679895236a95b6f67c4f205f8de6f6a3,9d6d86ccc28641c5378021ed4c4227bdc287563fdf61b69d875814d4045546bd,11,0.09090909090909091,0,0,0,0.14705882352941177,0.8529411764705882
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,21:2,21,B06XNVVF4F,buying,buying,3,early,False,0.3333333333333333,medium,69,51-200,77a0d4efbf216cf005450850ffd545f4a244dc8c02459ed1542c07d50dd3ef10,db3dd8f1d164e97a49a24b038d6487867ed26744a4693d2970008dc58a5c7a23,9d6d86ccc28641c5378021ed4c4227bdc287563fdf61b69d875814d4045546bd,11,0.09090909090909091,0,0,0,0.14705882352941177,0.8529411764705882
1,exact_full_survivor_ranker_only_v1,candidate,fm,2027,train_only,2026,validation,21:3,21,B06XNVVF4F,buying,buying,4,middle,False,0.6666666666666666,medium,1,<=10,c161cfd76201f9ebe4506b499683e84e0e0eddcc0b06dc8fbd6a4cd10c2800a8,c01aa6120ded7bce6b4eb0a3c11d032433b72a58a8f04a44ca32a41b1f3e245a,bcd15e4090f0ff6d3ff26e683030500901297b99c775f47aa4a4764bcb0fd1ff,1,1.0,1,1,1,0.0,
